frame_index,unix_ms,read_ms,is_dup,x0_mv,y0_mv,r_mv,theta_deg,noise_mv,pll_a,pll_b,overload_a,overload_b
113,1780759686104,12.515,0,1.187781e-7,-6.378953e-7,6.488595e-7,-79.452,8.429999e-7,0,0,0,0
114,1780759686153,14.475,0,1.299660e-7,-6.146687e-7,6.282585e-7,-78.061,8.428265e-7,0,0,0,0
115,1780759686204,14.503,0,1.327018e-7,-5.878851e-7,6.026763e-7,-77.280,8.427349e-7,0,0,0,0
116,1780759686255,14.574,0,1.235464e-7,-5.683807e-7,5.816531e-7,-77.737,8.426360e-7,0,0,0,0
117,1780759686306,14.553,0,1.066130e-7,-5.384291e-7,5.488827e-7,-78.800,8.424627e-7,0,0,0,0
118,1780759686357,11.855,0,7.791638e-8,-5.298388e-7,5.355372e-7,-81.634,8.422584e-7,0,0,0,0
119,1780759686407,13.294,0,5.005574e-8,-5.165307e-7,5.189504e-7,-84.465,8.418816e-7,0,0,0,0
120,1780759686458,13.269,0,2.533591e-8,-5.189161e-7,5.195342e-7,-87.205,8.415280e-7,0,0,0,0
121,1780759686508,13.550,0,4.329600e-9,-5.235680e-7,5.235859e-7,-89.526,8.411123e-7,0,0,0,0
122,1780759686557,12.892,0,-1.314694e-8,-5.301471e-7,5.303101e-7,-91.421,8.404670e-7,0,0,0,0
123,1780759686606,12.221,0,-3.922515e-8,-5.533513e-7,5.547398e-7,-94.055,8.398780e-7,0,0,0,0
124,1780759686654,14.611,0,-6.084357e-8,-5.644167e-7,5.676866e-7,-96.153,8.389321e-7,0,0,0,0
125,1780759686703,13.472,0,-7.514958e-8,-5.908491e-7,5.956090e-7,-97.248,8.381067e-7,0,0,0,0
126,1780759686754,14.244,0,-7.658471e-8,-6.052419e-7,6.100680e-7,-97.212,8.372158e-7,0,0,0,0
127,1780759686804,14.605,0,-6.274549e-8,-6.256758e-7,6.288141e-7,-95.727,8.360011e-7,0,0,0,0
128,1780759686855,14.520,0,-4.365326e-8,-6.480005e-7,6.494692e-7,-93.854,8.350869e-7,0,0,0,0
129,1780759686906,12.121,0,-2.309190e-8,-6.615248e-7,6.619277e-7,-91.999,8.338702e-7,0,0,0,0
130,1780759686954,14.504,0,-3.265519e-9,-6.895082e-7,6.895159e-7,-90.271,8.329767e-7,0,0,0,0
131,1780759687006,14.145,0,2.232476e-8,-7.022682e-7,7.026230e-7,-88.179,8.318542e-7,0,0,0,0
132,1780759687055,12.564,0,4.705811e-8,-7.286738e-7,7.301918e-7,-86.305,8.310904e-7,0,0,0,0
133,1780759687105,13.397,0,7.468483e-8,-7.562175e-7,7.598965e-7,-84.360,8.304221e-7,0,0,0,0
134,1780759687156,13.316,0,1.001153e-7,-7.756325e-7,7.820670e-7,-82.645,8.297221e-7,0,0,0,0
135,1780759687206,12.180,0,1.221304e-7,-7.928484e-7,8.021997e-7,-81.243,8.293293e-7,0,0,0,0
136,1780759687255,13.351,0,1.437177e-7,-7.904795e-7,8.034380e-7,-79.696,8.289929e-7,0,0,0,0
137,1780759687306,13.478,0,1.614360e-7,-7.966636e-7,8.128557e-7,-78.545,8.288685e-7,0,0,0,0
138,1780759687356,12.058,0,1.739051e-7,-7.810991e-7,8.002242e-7,-77.448,8.288728e-7,0,0,0,0
139,1780759687405,13.631,0,1.811891e-7,-7.683636e-7,7.894379e-7,-76.731,8.290391e-7,0,0,0,0
140,1780759687456,13.292,0,1.862812e-7,-7.465055e-7,7.693966e-7,-75.989,8.292491e-7,0,0,0,0
141,1780759687507,13.278,0,1.861759e-7,-7.205547e-7,7.442181e-7,-75.513,8.296089e-7,0,0,0,0
142,1780759687557,14.479,0,1.873969e-7,-6.892392e-7,7.142606e-7,-74.790,8.298993e-7,0,0,0,0
143,1780759687606,13.295,0,1.848615e-7,-6.463644e-7,6.722803e-7,-74.039,8.302121e-7,0,0,0,0
144,1780759687657,13.391,0,1.755488e-7,-6.241366e-7,6.483547e-7,-74.290,8.306248e-7,0,0,0,0
145,1780759687707,11.849,0,1.643760e-7,-5.929064e-7,6.152703e-7,-74.505,8.309158e-7,0,0,0,0
146,1780759687757,13.218,0,1.482341e-7,-5.722982e-7,5.911840e-7,-75.479,8.312464e-7,0,0,0,0
147,1780759687807,13.317,0,1.294863e-7,-5.488685e-7,5.639356e-7,-76.726,8.314312e-7,0,0,0,0
148,1780759687858,14.091,0,1.097639e-7,-5.291112e-7,5.403765e-7,-78.280,8.315881e-7,0,0,0,0
149,1780759687908,14.330,0,9.053693e-8,-5.250426e-7,5.327914e-7,-80.216,8.316133e-7,0,0,0,0
150,1780759687958,12.514,0,7.540148e-8,-5.167055e-7,5.221781e-7,-81.698,8.315688e-7,0,0,0,0
