frame_index,unix_ms,read_us,is_dup,pll_a,pll_b,overload_a,overload_b
296,1780760328532,14462,0,0,0,0,0
297,1780760328583,14529,0,0,0,0,0
298,1780760328632,13721,1,0,0,0,0
299,1780760328682,12147,0,0,0,0,0
300,1780760328731,13708,0,0,0,0,0
301,1780760328782,13725,0,0,0,0,0
302,1780760328832,14614,0,0,0,0,0
303,1780760328881,13772,1,0,0,0,0
304,1780760328932,13705,0,0,0,0,0
305,1780760328983,13400,0,0,0,0,0
306,1780760329032,13158,1,0,0,0,0
307,1780760329083,13241,0,0,0,0,0
308,1780760329133,13325,0,0,0,0,0
309,1780760329182,12600,1,0,0,0,0
310,1780760329231,14693,0,0,0,0,0
311,1780760329282,14458,0,0,0,0,0
312,1780760329331,13879,1,0,0,0,0
313,1780760329382,13386,0,0,0,0,0
314,1780760329432,12209,0,0,0,0,0
315,1780760329481,13413,0,0,0,0,0
316,1780760329532,13560,0,0,0,0,0
317,1780760329583,13264,0,0,0,0,0
318,1780760329633,12226,1,0,0,0,0
319,1780760329683,13216,0,0,0,0,0
320,1780760329732,14523,0,0,0,0,0
321,1780760329783,14563,0,0,0,0,0
322,1780760329833,12667,1,0,0,0,0
323,1780760329883,13266,0,0,0,0,0
324,1780760329932,12608,1,0,0,0,0
325,1780760329981,14569,0,0,0,0,0
326,1780760330032,14487,0,0,0,0,0
327,1780760330081,13637,1,0,0,0,0
328,1780760330129,13486,0,0,0,0,0
329,1780760330180,13305,0,0,0,0,0
330,1780760330231,13387,0,0,0,0,0
331,1780760330282,13288,0,0,0,0,0
332,1780760330332,12083,0,0,0,0,0
333,1780760330382,13257,0,0,0,0,0
334,1780760330430,12760,0,0,0,0,0
335,1780760330480,13310,0,0,0,0,0
336,1780760330531,13686,0,0,0,0,0
337,1780760330580,12428,0,0,0,0,0
338,1780760330630,13926,0,0,0,0,0
339,1780760330678,13518,0,0,0,0,0
340,1780760330729,13226,0,0,0,0,0
341,1780760330779,14375,0,0,0,0,0
342,1780760330830,11788,0,0,0,0,0
343,1780760330879,13338,0,0,0,0,0
344,1780760330930,13279,0,0,0,0,0
345,1780760330981,13256,0,0,0,0,0
346,1780760331030,12833,0,0,0,0,0
347,1780760331080,13306,0,0,0,0,0
348,1780760331130,11938,0,0,0,0,0
349,1780760331178,14373,0,0,0,0,0
350,1780760331229,14526,0,0,0,0,0
351,1780760331279,12752,0,0,0,0,0
352,1780760331328,11781,0,0,0,0,0
353,1780760331377,13215,0,0,0,0,0
354,1780760331428,13314,0,0,0,0,0
355,1780760331478,14563,0,0,0,0,0
356,1780760331529,14538,0,0,0,0,0
357,1780760331578,13630,0,0,0,0,0
358,1780760331629,13254,0,0,0,0,0
359,1780760331680,13287,0,0,0,0,0
360,1780760331731,13348,0,0,0,0,0
361,1780760331782,13273,0,0,0,0,0
362,1780760331831,12567,0,0,0,0,0
363,1780760331881,13622,0,0,0,0,0
364,1780760331932,13319,0,0,0,0,0
365,1780760331983,13289,0,0,0,0,0
366,1780760332032,12509,1,0,0,0,0
367,1780760332082,13255,0,0,0,0,0
368,1780760332133,13248,0,0,0,0,0
369,1780760332182,12308,1,0,0,0,0
370,1780760332231,14494,0,0,0,0,0
371,1780760332281,13061,0,0,0,0,0
372,1780760332330,14461,0,0,0,0,0
373,1780760332381,14552,0,0,0,0,0
374,1780760332432,14513,0,0,0,0,0
375,1780760332483,12009,1,0,0,0,0
376,1780760332532,13565,0,0,0,0,0
377,1780760332581,12543,0,0,0,0,0
378,1780760332632,13205,0,0,0,0,0
379,1780760332682,13360,0,0,0,0,0
380,1780760332732,12119,0,0,0,0,0
381,1780760332781,13993,0,0,0,0,0
382,1780760332832,13607,0,0,0,0,0
383,1780760332881,12397,0,0,0,0,0
384,1780760332931,14125,0,0,0,0,0
385,1780760332981,14577,0,0,0,0,0
386,1780760333032,14536,0,0,0,0,0
387,1780760333082,12530,1,0,0,0,0
388,1780760333132,13514,0,0,0,0,0
389,1780760333183,13339,0,0,0,0,0
390,1780760333232,12544,1,0,0,0,0
391,1780760333282,13934,0,0,0,0,0
392,1780760333332,14476,0,0,0,0,0
393,1780760333383,12213,1,0,0,0,0
394,1780760333432,13560,0,0,0,0,0
395,1780760333481,12605,0,0,0,0,0
396,1780760333530,14563,0,0,0,0,0
397,1780760333581,11788,0,0,0,0,0
398,1780760333630,13313,0,0,0,0,0
399,1780760333681,13603,0,0,0,0,0
400,1780760333732,13389,0,0,0,0,0
401,1780760333782,12095,0,0,0,0,0
402,1780760333830,11871,0,0,0,0,0
403,1780760333879,13246,0,0,0,0,0
404,1780760333930,13320,0,0,0,0,0
405,1780760333979,12535,0,0,0,0,0
406,1780760334028,11796,0,0,0,0,0
407,1780760334077,13989,0,0,0,0,0
408,1780760334127,14579,0,0,0,0,0
409,1780760334178,14531,0,0,0,0,0
410,1780760334228,12640,0,0,0,0,0
411,1780760334277,11899,0,0,0,0,0
412,1780760334326,13373,0,0,0,0,0
413,1780760334377,13273,0,0,0,0,0
414,1780760334426,12489,0,0,0,0,0
415,1780760334475,11967,0,0,0,0,0
416,1780760334524,13898,0,0,0,0,0
417,1780760334574,11898,0,0,0,0,0
418,1780760334623,14035,0,0,0,0,0
419,1780760334674,14102,0,0,0,0,0
420,1780760334724,11887,0,0,0,0,0
421,1780760334773,13271,0,0,0,0,0
422,1780760334824,13934,0,0,0,0,0
423,1780760334874,11981,0,0,0,0,0
424,1780760334923,13252,0,0,0,0,0
425,1780760334974,13896,0,0,0,0,0
426,1780760335025,13823,0,0,0,0,0
427,1780760335074,12877,0,0,0,0,0
428,1780760335124,13707,0,0,0,0,0
429,1780760335175,13329,0,0,0,0,0
430,1780760335226,13296,0,0,0,0,0
431,1780760335275,12654,0,0,0,0,0
432,1780760335323,12413,0,0,0,0,0
433,1780760335373,13273,0,0,0,0,0
434,1780760335424,13344,0,0,0,0,0
435,1780760335475,13318,0,0,0,0,0
436,1780760335526,13176,0,0,0,0,0
437,1780760335576,11756,0,0,0,0,0
438,1780760335625,13559,0,0,0,0,0
439,1780760335676,13270,0,0,0,0,0
440,1780760335726,14549,0,0,0,0,0
441,1780760335777,12158,0,0,0,0,0
442,1780760335826,13240,0,0,0,0,0
443,1780760335877,13325,0,0,0,0,0
444,1780760335926,12387,0,0,0,0,0
445,1780760335976,13281,0,0,0,0,0
446,1780760336027,13313,0,0,0,0,0
447,1780760336077,12066,0,0,0,0,0
448,1780760336126,13454,0,0,0,0,0
449,1780760336175,12606,0,0,0,0,0
450,1780760336224,14323,0,0,0,0,0
451,1780760336273,13565,0,0,0,0,0
452,1780760336323,14350,0,0,0,0,0
453,1780760336372,13353,0,0,0,0,0
454,1780760336423,13297,0,0,0,0,0
455,1780760336474,13379,0,0,0,0,0
456,1780760336524,11954,0,0,0,0,0
457,1780760336573,13209,0,0,0,0,0
458,1780760336622,12231,0,0,0,0,0
459,1780760336672,13303,0,0,0,0,0
